Country,City,House_Type,Income_Level,Market_Status,PPP_Index,Price_2015,Price_2020,Price_2025,Growth_Rate_%,Inflation_%,Interest_Rate_%,Population_Growth_%,Inaffordability_Ratio
China,Shanghai,Apartment,Middle,Stable,0.6,107071,135494,171462,5.31,2.98,7.61,1.23,3.53
UAE,Dubai,Villa,Middle,Stable,0.8,317853,486173,743627,10.59,5.46,4.11,3.31,7.86
Japan,Yokohama,Villa,Middle,Stable,0.37,304633,472001,731323,10.99,4.38,3.67,1,4.36
Italy,Naples,Villa,Low,Booming,0.69,318056,348061,380896,1.89,7.64,7.8,2.55,10.46
Japan,Yokohama,Townhouse,Middle,Booming,0.37,264577,369496,516020,7.93,6.97,8.05,1.47,11.47
Australia,Brisbane,Villa,Middle,Booming,0.41,443810,703003,1113569,11.68,3.06,7.5,0.64,6.65
India,Bangalore,Townhouse,Middle,Stable,0.76,311290,487096,762192,11.3,6.03,5.33,3.33,11.55
UAE,Abu Dhabi,Villa,Low,Booming,0.32,492135,540055,592642,1.95,6.89,3.52,0.96,6.96
Spain,Barcelona,Villa,Low,Declining,0.88,221428,239145,258279,1.6,5.6,9.12,1.84,4.95
Germany,Frankfurt,Condo,Low,Declining,0.7,71763,107736,161740,10.03,6.96,6.29,1.74,10.2
USA,Kazan,Townhouse,High,Booming,0.8,421670,589200,823290,7.95,6.71,6.39,1.95,11.62
Germany,Munich,Apartment,Middle,Stable,0.79,322290,377488,442140,3.43,5.75,6.14,1.15,3.54
Brazil,Sao Paulo,Apartment,High,Booming,0.84,393662,526668,704614,6.76,3.36,7,0.78,6.98
South Africa,Durban,Apartment,Middle,Stable,0.45,133007,154455,179363,3.23,4.32,1.46,1.89,7.61
Japan,Yokohama,Villa,High,Declining,0.73,222253,335942,507787,10.23,2.87,5.55,0.72,3.64
Germany,Munich,Townhouse,Middle,Declining,0.82,304708,467093,716015,10.66,5.35,9.64,0.67,3.88
France,Marseille,Villa,High,Booming,0.34,133375,179749,242247,6.95,5.87,1.41,3.81,10.58
South Africa,Johannesburg,Condo,High,Declining,0.57,84734,96889,110786,2.87,2.76,2.11,2.31,5.21
Japan,Tokyo,Apartment,High,Stable,0.62,495277,706450,1007661,8.53,7.69,2.28,1.84,7.99
Brazil,Brasilia,Townhouse,High,Stable,0.37,51884,73610,104434,8.37,5.85,4.7,2.21,6.74
Germany,Berlin,Apartment,Middle,Declining,0.32,200917,230531,264511,2.95,2.59,9.61,2.6,9.56
India,Mumbai,Townhouse,Middle,Stable,0.58,226916,267831,316123,3.61,2.58,2.61,3.29,9.1
Japan,Yokohama,Townhouse,Middle,Stable,0.79,263790,410811,639772,11.15,2.44,3.53,1.72,10.04
China,Shanghai,Apartment,Low,Booming,1.19,158302,242339,370990,10.62,6.98,3.02,1.9,6.69
Russia,Chicago,Apartment,High,Stable,1.18,131401,195727,291543,9.79,4.01,7.58,1.97,8.21
Australia,Sydney,Condo,Low,Booming,1.05,411875,628740,959792,10.53,2.36,7.23,0.99,6.74
Canada,Montreal,Villa,Middle,Stable,0.79,231233,308878,412594,6.72,7.98,2.22,2.86,6.56
Australia,Sydney,Apartment,Middle,Stable,0.42,121432,190903,300118,11.44,7.28,9.16,3.97,4.87
UAE,Sharjah,Condo,High,Booming,0.62,351149,462144,608223,6.32,4.51,4.22,2.58,8.18
USA,Saint Petersburg,Villa,High,Declining,0.45,262283,355238,481138,7.09,5.42,2.89,3.1,3.23
Australia,Brisbane,Apartment,High,Stable,0.62,401096,545547,742021,7.2,3.57,7.25,2.49,10.17
China,Beijing,Townhouse,Low,Booming,0.96,324549,427917,564207,6.37,2.8,3.35,1.97,8.39
Turkey,Izmir,Condo,High,Declining,0.76,179683,189306,199444,1.07,4.98,3.57,3.07,3.22
Germany,Berlin,Townhouse,Low,Stable,0.83,473663,542783,621988,2.92,4.83,1.82,2.69,7.95
France,Marseille,Condo,High,Stable,0.67,284620,439201,677738,10.86,3.18,1.2,3.52,8.19
South Africa,Durban,Villa,High,Stable,1.1,318625,476532,712696,9.91,4.58,7.75,3.7,8.15
Italy,Rome,Condo,High,Declining,0.46,170959,198185,229747,3.19,3.48,3.76,2.44,8.29
Germany,Frankfurt,Condo,Low,Stable,0.68,326939,357955,391913,1.9,2.53,2.55,2.31,4.93
South Korea,Seoul,Apartment,High,Stable,0.55,230141,344412,515421,9.93,2.08,6.84,2.84,10.19
Italy,Naples,Townhouse,Low,Stable,1.14,59062,67011,76029,2.69,7.32,5.13,2.48,8.97
Brazil,Rio de Janeiro,Townhouse,Middle,Declining,0.91,469283,750066,1198847,11.97,6.32,3.58,3.58,3.44
Indonesia,Surabaya,Townhouse,Middle,Declining,0.51,453824,540461,643638,3.82,3.32,2.24,3.51,7.5
Italy,Rome,Townhouse,High,Booming,0.91,157580,231157,339090,9.34,6.56,3.81,1.94,4.89
UAE,Abu Dhabi,Apartment,Low,Booming,1.18,340521,532575,832947,11.28,3.82,8.04,3.18,9.22
Mexico,Guadalajara,Villa,High,Booming,1.17,227100,254782,285839,2.44,6.03,7.56,2.51,4.86
Germany,Munich,Apartment,Low,Stable,0.75,190485,244794,314586,5.7,5.87,7.71,1.31,6.65
Spain,Valencia,Villa,Low,Stable,0.54,139384,206409,305663,9.62,7.46,4.33,3.13,11.07
Canada,Vancouver,Apartment,Low,Booming,1.06,132266,208446,328503,11.52,4.26,4.05,0.72,7.38
China,Shanghai,Townhouse,Low,Booming,0.4,161843,198147,242595,4.49,6.85,8.88,1.56,10.73
South Korea,Seoul,Condo,High,Declining,1.07,394093,445594,503825,2.61,6.14,9.51,2.89,5.98
Indonesia,Surabaya,Villa,High,Declining,0.75,340576,453244,603183,6.62,2.72,3.81,3.31,10.75
Germany,Berlin,Villa,Low,Stable,0.42,478574,589054,725039,4.62,5.97,7.77,3.34,11.51
UK,Birmingham,Villa,Low,Booming,0.58,436328,489747,549705,2.45,6.23,7.68,2.87,5.27
Mexico,Guadalajara,Townhouse,High,Declining,1.09,125986,136002,146814,1.59,6.3,5.28,3.47,6.45
Russia,Los Angeles,Townhouse,High,Declining,0.45,426399,576449,779301,7.04,3.14,7.48,2.29,8.44
Canada,Vancouver,Condo,High,Stable,0.71,422919,637026,959526,10.13,6.26,1.95,3.44,9.04
Canada,Toronto,Townhouse,Middle,Stable,0.93,213342,327183,501768,10.67,6.35,2.01,1.93,10.98
UK,Manchester,Condo,High,Declining,0.34,482637,687053,978048,8.47,5.79,3.44,1.37,11.48
Turkey,Izmir,Villa,Middle,Declining,0.57,398977,505192,639683,5.32,2.84,1.1,2.4,11.78
France,Paris,Apartment,Middle,Booming,0.63,210737,261155,323637,4.79,5.12,4.97,3.58,7.55
Canada,Toronto,Villa,Middle,Booming,0.76,112267,178562,284004,11.81,3.5,1.66,2.82,8.36
Japan,Yokohama,Condo,High,Stable,0.67,239987,355608,526935,9.64,3.17,8.38,2.77,6.77
South Africa,Johannesburg,Condo,Middle,Stable,0.71,165491,242223,354533,9.27,5.08,3.89,2.59,11.96
Japan,Yokohama,Villa,Low,Booming,0.69,464311,575634,713648,4.8,2.33,2.84,1.97,4.98
Canada,Toronto,Condo,High,Stable,0.3,461751,699152,1058610,10.28,6.45,2.51,0.92,3.61
China,Shanghai,Villa,Middle,Declining,0.95,467964,602173,774873,5.74,2.71,5.61,1.72,6.37
Indonesia,Bandung,Condo,Middle,Booming,0.86,373423,414810,460785,2.22,2.21,9.95,1.31,3.48
Germany,Frankfurt,Townhouse,Low,Stable,0.47,67531,85460,108150,5.31,6.81,4.07,2.05,9.08
Germany,Frankfurt,Townhouse,Low,Declining,0.76,437651,667995,1019573,10.53,2.06,8,2.11,11.9
Indonesia,Surabaya,Townhouse,High,Stable,0.73,494103,723868,1060476,9.3,3.49,5.85,3.97,10.72
Australia,Sydney,Apartment,High,Declining,0.39,367867,456181,565696,4.8,2.04,4.63,1.32,10.37
Brazil,Sao Paulo,Apartment,High,Stable,0.6,422386,443644,465972,1.01,3.85,3.17,1.32,3.61
India,Bangalore,Apartment,Middle,Stable,0.47,299997,363071,439407,4.2,4.5,4.39,3.57,11.15
USA,Kazan,Condo,Middle,Stable,0.74,198570,220163,244103,2.17,7.72,1.54,1.54,5.68
USA,Moscow,Apartment,Middle,Stable,0.59,123929,183507,271725,9.61,2.73,6.71,0.93,3.63
USA,Kazan,Condo,Middle,Stable,1.12,135558,203566,305692,10.03,5.27,1.7,3.84,5.22
Spain,Valencia,Condo,Middle,Declining,1.07,125965,191424,290901,10.39,2.08,5.61,3.19,11.41
Australia,Sydney,Villa,High,Declining,1.12,418831,644374,991373,10.77,3.2,3.56,1.51,6.39
Mexico,Monterrey,Villa,Low,Stable,0.65,295050,335747,382058,2.76,6.15,2.51,1.59,7.53
UK,Manchester,Apartment,Middle,Declining,1.02,382761,537796,755627,8.1,2.93,5.92,0.81,6.4
Brazil,Sao Paulo,Condo,Middle,Stable,0.67,67915,81545,97911,4.01,7.73,9.58,1.73,3.39
USA,Saint Petersburg,Apartment,High,Booming,0.46,226498,355892,559205,11.43,2.85,7.87,0.88,11.83
Mexico,Guadalajara,Townhouse,Low,Declining,0.64,398856,493953,611723,4.77,5.77,2.73,1.01,11.44
Italy,Naples,Condo,Middle,Declining,1.13,449361,626404,873200,7.88,6.85,1.62,1.67,5.82
Turkey,Istanbul,Apartment,High,Declining,0.87,210181,237857,269178,2.63,5.58,8.33,1.84,4.19
Indonesia,Bandung,Apartment,High,Stable,0.48,156867,190585,231550,4.3,5.86,6.41,2.94,6.26
Canada,Montreal,Condo,Low,Booming,1.04,141839,185522,242658,6.16,6.81,2.62,0.88,10.95
Australia,Melbourne,Townhouse,High,Stable,0.61,357742,380616,404953,1.28,6.14,3.84,0.7,8.49
UAE,Dubai,Villa,Middle,Stable,0.52,224063,245197,268324,1.89,2.88,3.68,0.81,11.2
Japan,Tokyo,Townhouse,Low,Stable,0.31,267737,299273,334523,2.36,3.85,9.33,1.07,11.69
Indonesia,Surabaya,Townhouse,Low,Stable,0.49,383705,518259,699999,7.01,7.31,5.99,2.37,4.76
India,Mumbai,Townhouse,Middle,Booming,0.45,462420,568921,699949,4.61,4.23,7.84,1.69,11.57
India,Bangalore,Townhouse,High,Declining,0.96,318843,489262,750769,10.69,2.3,3.31,2.13,5.04
Indonesia,Surabaya,Villa,Middle,Declining,0.97,463644,594889,763286,5.66,4.05,9.65,2.06,7.4
Russia,New York,Condo,Low,Booming,0.62,459297,625987,853174,7.26,6.57,8.31,1.7,6.9
India,Delhi,Townhouse,Low,Declining,1.06,213465,317351,471794,9.73,7.65,6.61,3.1,10.25
India,Delhi,Condo,Low,Stable,1.06,227774,245585,264788,1.56,4.41,7.06,2.08,9.74
Saudi Arabia,Jeddah,Apartment,High,Stable,0.62,335635,386830,445833,3.05,6.5,5.91,1.21,5.63
India,Delhi,Villa,Low,Booming,0.97,267171,312274,364991,3.38,7.8,7.44,3.85,6.84
UK,Manchester,Condo,High,Stable,0.73,454080,607912,813858,6.78,6.24,3.27,2.06,4.11
USA,Kazan,Condo,Middle,Stable,0.49,50425,54035,57903,1.43,7.86,3.18,2.82,10.55
Canada,Montreal,Apartment,Middle,Stable,0.8,118915,172482,250179,9.01,5.6,7.58,3.19,11.78
USA,Kazan,Townhouse,High,Stable,0.82,203739,286590,403133,8.13,2.41,9.08,0.92,5.95
South Africa,Cape Town,Apartment,Middle,Stable,1.03,318791,403748,511347,5.33,4.84,8.69,1.69,10.83
UK,Manchester,Apartment,High,Booming,0.38,399559,605792,918473,10.32,3.09,4.87,1.08,9.36
France,Lyon,Villa,Low,Stable,0.78,335896,388990,450477,3.16,3.27,1.37,1.63,8.04
Germany,Berlin,Townhouse,Low,Booming,1.07,350117,451465,582150,5.79,7.72,7.47,3.76,7.75
Italy,Rome,Apartment,Middle,Declining,0.53,73772,106921,154966,8.99,2.73,3.72,2.36,8.08
Turkey,Ankara,Apartment,High,Declining,0.84,124815,157124,197796,5.18,5.7,9.73,3.05,11.3
South Korea,Busan,Villa,High,Booming,0.99,316273,365489,422363,3.11,6,6.61,2.61,7.41
South Africa,Johannesburg,Villa,Low,Declining,0.78,200499,267791,357668,6.71,3.19,8.25,1.15,3.76
Saudi Arabia,Riyadh,Condo,Low,Declining,0.69,346238,446905,576840,5.81,3.66,6.02,1.71,11.4
UK,Birmingham,Apartment,High,Declining,1.13,276067,339656,417891,4.61,6.42,1.33,2.16,6.03
UK,Manchester,Apartment,Low,Declining,1.13,55401,75016,101575,7.08,6.44,5.37,0.8,11.75
Canada,Vancouver,Villa,Middle,Stable,0.77,326384,385177,454561,3.6,4.9,4.86,0.76,3.96
France,Marseille,Apartment,High,Booming,1.05,157919,182748,211481,3.14,5.03,7.92,0.72,8.19
USA,Saint Petersburg,Apartment,High,Stable,0.41,66407,71654,77316,1.58,7,2.06,0.66,6.94
France,Paris,Townhouse,Low,Stable,1.06,168084,215474,276225,5.64,2.24,5.04,2.52,8.14
UK,Manchester,Apartment,High,Booming,0.6,191990,212848,235973,2.17,4.2,1.9,3.18,11.7
China,Beijing,Villa,Low,Declining,1.17,439282,606401,837097,7.61,6.21,3.57,2.71,7.1
India,Bangalore,Apartment,Middle,Stable,0.73,390999,471176,567793,4.1,3.91,9.32,0.7,7.37
Italy,Naples,Apartment,High,Booming,1.12,324663,438466,592158,7.01,3.5,4.09,3.48,8.03
UK,London,Apartment,Low,Stable,0.76,94811,100387,106292,1.18,7.78,4.39,2.61,3.72
Russia,Los Angeles,Condo,Low,Stable,0.91,469655,641838,877146,7.33,2.76,6.24,3.18,6.66
Mexico,Monterrey,Condo,Middle,Stable,1.09,341907,528106,815705,10.89,5.74,2.18,1.58,4.82
Canada,Montreal,Apartment,Low,Booming,1.12,392180,557687,793042,8.44,3.81,2.66,3.15,7.27
Saudi Arabia,Dammam,Villa,High,Stable,0.5,327480,351119,376464,1.44,3.96,5.22,1.02,11.86
Spain,Valencia,Villa,Middle,Declining,0.49,108659,126256,146702,3.24,6.61,4.83,2.48,3.19
USA,Saint Petersburg,Townhouse,Middle,Stable,0.33,250621,375722,563267,9.98,7.31,1.78,2.38,11.22
France,Paris,Apartment,Low,Declining,0.65,423305,475597,534348,2.47,7.61,7.76,3.79,9.09
Spain,Barcelona,Townhouse,Low,Booming,0.63,472182,567355,681712,4.03,3.99,7.31,3.18,11.36
USA,Saint Petersburg,Villa,Low,Declining,0.48,409099,595730,867503,9.12,2.38,4.49,1.49,5.74
Saudi Arabia,Jeddah,Apartment,Middle,Booming,1.18,339250,490122,708089,8.89,7.86,4.39,3.31,6.91
China,Shenzhen,Villa,Middle,Booming,1.08,131296,206296,324137,11.42,3.31,3.94,3.15,6.54
South Korea,Busan,Condo,Middle,Booming,0.85,250058,364661,531786,9.17,3.37,1.53,1.55,7.27
Turkey,Izmir,Apartment,Middle,Declining,0.45,209659,266265,338154,5.4,2.34,6.25,3.6,4.37
France,Marseille,Villa,Low,Stable,0.84,349133,447111,572586,5.61,6.21,4.7,2.27,3.07
Turkey,Istanbul,Condo,High,Stable,0.92,347604,372326,398806,1.42,4.21,9.81,1.97,7.52
Russia,New York,Villa,High,Declining,1.12,372768,510744,699790,7.4,6.79,8.78,2.1,7.28
Italy,Rome,Villa,Middle,Declining,0.65,485018,695245,996592,8.67,2.5,8.77,2.18,3.62
Saudi Arabia,Dammam,Villa,High,Declining,0.79,237724,364374,558499,10.66,3.22,8.44,2.45,3.49
China,Shanghai,Condo,High,Booming,1.17,280677,339614,410927,4.2,4.82,8.72,1.57,4.73
Brazil,Brasilia,Villa,Low,Declining,0.42,184037,272195,402584,9.58,4.83,3.05,1.08,5.99
Spain,Valencia,Apartment,High,Declining,1.15,204362,325644,518904,11.87,4.91,2.61,3.62,7.14
Germany,Frankfurt,Apartment,High,Booming,0.94,492670,530900,572096,1.55,2.58,7.48,1.49,4.66
Italy,Milan,Condo,Middle,Declining,0.34,59831,88309,130341,9.52,2.81,5.21,2.62,6.86
Indonesia,Bandung,Condo,Low,Stable,0.32,402576,425032,448742,1.12,6.57,9.04,2.01,7.82
Canada,Montreal,Apartment,Middle,Declining,0.73,225144,346290,532623,10.76,7.36,4.02,2.65,11.34
Australia,Brisbane,Apartment,High,Booming,1.17,279032,362477,470877,5.98,3.67,9.63,1,8.22
South Korea,Seoul,Townhouse,High,Stable,0.55,175554,223433,284370,5.45,7.99,1.49,2.52,3.74
Italy,Naples,Condo,High,Stable,0.44,247803,329765,438836,6.62,3.55,3.85,0.8,5.73
UAE,Abu Dhabi,Apartment,High,Stable,1.17,475118,586383,723704,4.68,5.43,9.19,0.52,10.3
Mexico,Monterrey,Condo,Low,Booming,1.15,91097,103740,118139,2.78,7.76,5.84,0.55,5.32
Germany,Berlin,Condo,Low,Declining,0.7,361809,525795,764105,9.06,7.97,3.59,2.38,7.8
UAE,Abu Dhabi,Townhouse,Low,Declining,0.67,126123,200233,317890,11.75,7.12,5.48,2.61,5.05
Canada,Montreal,Villa,Low,Booming,0.79,362737,483652,644873,6.67,7.94,6.5,1.8,9.95
Brazil,Sao Paulo,Townhouse,High,Booming,0.45,223032,276744,343392,4.82,4.59,8.04,2.19,10.15
Japan,Osaka,Townhouse,Low,Booming,0.82,203931,304977,456089,9.91,3.43,3.02,2.27,5.35
Japan,Tokyo,Apartment,High,Stable,0.31,341734,454883,605495,6.62,4.67,9.7,2.5,10.77
Australia,Brisbane,Villa,High,Stable,0.43,306143,467599,714206,10.55,5.5,7.46,1.8,3.83
Brazil,Brasilia,Condo,High,Booming,0.71,227516,347390,530424,10.54,3.46,9.7,3.85,5.23
UK,Manchester,Condo,Middle,Declining,0.61,453000,716484,1133221,11.63,4.66,3.89,2.34,9.19
Indonesia,Bandung,Townhouse,High,Declining,0.55,381413,411320,443572,1.57,2.3,4.48,1.74,5.84
Brazil,Brasilia,Condo,Low,Booming,0.74,194330,224595,259574,3.11,3.86,9.77,1.94,7
Australia,Melbourne,Villa,High,Booming,0.82,492503,582573,689114,3.66,6.09,7.44,2.63,3.8
Germany,Munich,Townhouse,High,Stable,0.91,78843,108636,149687,7.56,6.44,2.9,3.45,3.27
Canada,Vancouver,Apartment,Middle,Stable,1.06,257148,300779,351813,3.39,2.8,9.58,0.75,4.79
Indonesia,Bandung,Townhouse,High,Stable,0.61,329106,444174,599476,6.99,2.75,3.61,1.34,4.92
Germany,Frankfurt,Condo,High,Stable,0.67,366814,429026,501788,3.39,4.2,4.52,3.92,11.59
South Korea,Busan,Condo,Middle,Stable,1.02,158747,172624,187715,1.75,3.9,3.4,2.27,10
USA,Saint Petersburg,Condo,Middle,Declining,1.07,430189,536799,669829,4.96,6.12,3.82,0.71,9.31
South Korea,Busan,Villa,Middle,Stable,0.31,234132,288254,354886,4.62,6.16,7.9,1.56,10.3
France,Paris,Townhouse,Middle,Booming,0.56,250847,363693,527304,9,6.16,9.89,1.29,8.96
Canada,Montreal,Villa,Middle,Booming,0.85,461794,524598,595943,2.72,6.51,6.11,1.46,7.27
Germany,Berlin,Condo,Low,Declining,0.6,310691,478138,735831,10.78,5.42,6.69,2.32,3.46
UAE,Abu Dhabi,Townhouse,High,Booming,0.51,271401,331280,404370,4.41,3.09,5.54,1.63,5.32
South Africa,Durban,Condo,Middle,Booming,0.72,109978,171594,267732,11.21,7.21,7.37,0.87,9.98
Turkey,Istanbul,Condo,High,Declining,1.03,395494,440059,489645,2.25,5.86,8.51,2.52,8.82
Germany,Berlin,Villa,Middle,Booming,0.71,287918,307758,328965,1.38,5.83,1.73,2.02,5.63
Saudi Arabia,Riyadh,Townhouse,High,Stable,0.79,110037,157398,225142,8.61,6.77,2.47,0.87,4.31
UK,Manchester,Apartment,High,Booming,1.09,287685,376003,491433,6.14,2.64,6.85,3.54,10.45
Mexico,Monterrey,Apartment,High,Booming,0.86,83875,93254,103682,2.24,2.3,3.32,0.97,5.34
Turkey,Istanbul,Condo,Middle,Declining,0.65,474342,657299,910824,7.71,7.01,7.39,0.89,9.62
USA,Saint Petersburg,Apartment,Low,Stable,0.55,337599,417788,517025,4.75,7.99,3.37,1.48,11.38
France,Marseille,Condo,Middle,Booming,0.32,363510,526700,763152,8.98,7.02,9.77,3.91,3.59
Saudi Arabia,Jeddah,Townhouse,Low,Declining,1.04,340839,479233,673820,8.12,2.77,6.85,3.94,11.21
Saudi Arabia,Riyadh,Condo,Low,Stable,0.7,67977,84921,106088,4.99,6.96,7.31,2.11,3.5
Spain,Barcelona,Townhouse,Middle,Stable,0.68,261061,407440,635893,11.21,5.85,3.8,2.34,3.59
Saudi Arabia,Riyadh,Villa,Middle,Booming,1.18,212027,278355,365432,6.26,4.13,7.14,2.82,9.44
South Africa,Cape Town,Apartment,Low,Stable,0.54,192051,214883,240430,2.38,5.93,1.36,2.59,10.83
Mexico,Monterrey,Apartment,Middle,Declining,1.1,252067,328347,427710,6.05,2.46,7.04,3.37,5.2
Australia,Sydney,Condo,High,Booming,0.68,427478,655074,1003846,10.65,3.46,5.96,1.17,3.92
Russia,Los Angeles,Villa,High,Declining,1.12,419228,615435,903471,9.36,2.29,8.59,2.03,6.08
UK,Birmingham,Townhouse,Middle,Booming,0.79,91109,133580,195849,9.32,5.49,2.68,1.16,4.66
Japan,Osaka,Villa,Middle,Booming,0.35,314509,475598,719196,10.24,2.1,1.44,2.5,10.38
UAE,Sharjah,Townhouse,Low,Booming,0.59,207326,285694,393684,7.56,3.65,1.24,3.07,8.63
South Africa,Durban,Condo,Middle,Booming,0.82,383758,545465,775311,8.43,3.24,4.17,0.94,4.17
Saudi Arabia,Riyadh,Apartment,High,Stable,0.91,436370,689248,1088669,11.59,5.77,2.66,0.87,10.32
India,Mumbai,Condo,High,Declining,0.82,328228,485714,718761,9.6,6.22,8.51,0.7,9.73
India,Bangalore,Townhouse,High,Stable,1.07,178761,250667,351496,8.04,3.88,9.62,0.62,8.22
China,Beijing,Villa,Low,Stable,0.45,370499,424866,487211,2.93,3.41,5.45,3.7,4.91
Australia,Sydney,Condo,High,Stable,0.43,391540,518923,687750,6.51,7.47,2.32,2.76,5.1
South Africa,Cape Town,Condo,High,Booming,0.44,357543,492168,677482,7.53,6.53,3.79,2.07,6.65
Australia,Melbourne,Townhouse,High,Declining,1.19,181512,220020,266697,4.24,4.13,6.08,1.38,11.24
UK,London,Apartment,High,Booming,0.54,453117,501560,555183,2.14,5.94,9.16,1.09,11.71
India,Bangalore,Townhouse,High,Booming,0.71,475572,676382,961986,8.45,3.81,2.69,1.56,3.84
Russia,Chicago,Townhouse,High,Booming,0.43,97097,124539,159736,5.65,6.77,2.27,0.96,8.79
France,Lyon,Villa,Middle,Booming,0.48,93925,107240,122443,2.84,7.54,8.39,1.74,8.9
India,Delhi,Villa,High,Booming,0.78,354706,505622,720749,8.51,5.77,3.39,0.64,7.1
Russia,New York,Apartment,Low,Booming,1.1,306274,461804,696315,10.16,7.95,2.47,2.92,9.07
Brazil,Brasilia,Villa,Middle,Declining,1.18,493520,704586,1005918,8.55,3.46,8.19,0.87,10.03
Saudi Arabia,Riyadh,Condo,Low,Declining,1.12,222275,310485,433700,7.94,4.58,4.94,1.59,9.86
USA,Moscow,Condo,Low,Declining,1.14,473338,542507,621783,2.92,7.25,7.64,1.38,3.61
Brazil,Rio de Janeiro,Condo,Low,Declining,0.54,460494,643885,900310,7.96,6.33,3.31,3.02,3.25
Australia,Sydney,Villa,Low,Declining,0.64,332039,375321,424246,2.61,6.94,3.12,2.78,6.65
Indonesia,Jakarta,Villa,Middle,Stable,0.84,98353,104185,110364,1.19,7.46,3.43,3.37,11.99
France,Paris,Condo,High,Booming,0.49,169327,239525,338826,8.29,7.79,9.24,2.26,10.16
Australia,Brisbane,Condo,Low,Stable,0.42,489847,774152,1223465,11.61,2.98,3.69,0.85,5.45
China,Shanghai,Townhouse,Middle,Booming,1.03,220242,241962,265824,1.97,4.05,9.83,2.7,6.75
Australia,Brisbane,Villa,Low,Booming,0.45,493780,741394,1113178,10.03,3.69,1.63,0.7,4.08
France,Paris,Apartment,High,Booming,0.82,467944,619187,819314,6.46,7.06,5.01,2.98,9.59
Turkey,Ankara,Villa,Middle,Stable,0.46,212547,297676,416900,8.01,2.42,4.25,2.37,11.97
Brazil,Rio de Janeiro,Apartment,Middle,Booming,0.73,417226,537235,691764,5.75,6.78,6.36,3.6,6.7
Mexico,Guadalajara,Villa,High,Stable,0.84,333508,426744,546045,5.59,2.87,1.84,0.56,10.86
South Africa,Durban,Villa,High,Booming,0.51,145178,211208,307269,9.1,3.92,5.55,1.07,11.64
UAE,Dubai,Villa,Low,Declining,1.07,438705,558790,711745,5.47,6.57,2.29,0.53,3.18
Germany,Munich,Apartment,Low,Stable,0.83,254928,340305,454276,6.7,2.04,4.8,3.01,6.98
India,Mumbai,Apartment,Low,Stable,0.96,154859,231859,347145,9.94,5.53,2.9,1.33,8.65
France,Paris,Condo,High,Declining,1.05,237033,282558,336828,3.84,7.2,7.02,2.07,7.39
Saudi Arabia,Dammam,Apartment,Middle,Stable,0.48,332061,414183,516614,4.95,7.97,5.32,2.2,8.09
Germany,Munich,Townhouse,Middle,Declining,1.13,410368,532708,691519,5.96,6.31,6.28,2.22,4.73
Mexico,Monterrey,Condo,High,Declining,0.72,160618,249467,387462,11.06,4.01,9.57,2.37,8.68
Germany,Berlin,Condo,High,Booming,0.79,108221,136002,170914,5.13,2.59,6.61,2.06,10
Brazil,Sao Paulo,Villa,Low,Stable,0.5,124055,157982,201187,5.47,7.56,7.39,1.97,7.66
Turkey,Istanbul,Villa,Low,Booming,0.38,493059,698430,989343,8.33,3.71,6.27,0.88,11.69
Japan,Tokyo,Condo,Low,Declining,0.46,341614,404812,479702,3.7,6.31,7.99,2.86,8.53
Germany,Berlin,Apartment,Middle,Booming,1.1,85382,105191,129596,4.64,3.49,9.89,1.86,9.59
Japan,Tokyo,Villa,Middle,Stable,0.92,145437,171826,203003,3.63,3.69,4.7,1.32,3.18
China,Shanghai,Apartment,Low,Declining,1.09,484524,599775,742440,4.76,4.03,1.06,2.88,10.43
South Korea,Seoul,Villa,Low,Declining,0.43,121850,180892,268542,9.69,5.7,1.4,2.68,5.78
Mexico,Guadalajara,Apartment,Middle,Booming,0.63,396379,592989,887120,9.92,4.4,9.52,1.92,9.95
Australia,Sydney,Villa,Middle,Declining,0.74,453890,703197,1089441,10.99,2.52,9.43,3.39,10.12
South Africa,Johannesburg,Villa,Middle,Declining,0.48,412304,625701,949547,10.35,3.73,9.57,0.67,4.35
Spain,Barcelona,Apartment,Low,Declining,0.78,309107,434243,610039,8.1,2.1,9.64,0.66,4.29
Brazil,Sao Paulo,Apartment,Low,Booming,0.31,305086,476773,745075,11.25,6,8.4,0.55,7.88
Canada,Vancouver,Townhouse,Low,Declining,0.71,274536,299166,326007,1.79,6.11,5.53,3.18,7.37
Japan,Tokyo,Townhouse,Middle,Stable,0.43,341716,391200,447851,2.9,7.23,6.52,1.05,11.66
Turkey,Istanbul,Apartment,Low,Booming,0.77,82804,115492,161083,7.9,3.52,8.23,3.36,11.81
Turkey,Izmir,Townhouse,Middle,Booming,0.75,254731,373030,546270,9.29,2.79,5.92,2.41,3.81
Indonesia,Surabaya,Condo,Low,Booming,0.68,433978,660031,1003830,10.42,2.6,1.82,1.42,10.87
Mexico,Guadalajara,Condo,Middle,Declining,0.42,373999,413508,457192,2.11,5.74,4.2,3.26,5.1
Japan,Tokyo,Condo,High,Stable,0.88,156057,225114,324731,8.85,7.24,2.14,3.53,8.34
France,Paris,Apartment,Middle,Declining,0.41,242394,275959,314172,2.77,6.2,7.83,0.87,7.56
Mexico,Guadalajara,Condo,Middle,Declining,1.03,471273,627941,836691,6.65,7.7,5.82,1.88,10.63
Turkey,Ankara,Condo,Low,Stable,0.74,262356,346224,456902,6.39,7.08,8.49,1.91,6
